YEAR,SHIFT,START_DATE,END_DATE,SEQUENCE
2026,WW16.0N,2026-04-12 19:00:00,2026-04-13 06:59:59,-1
2026,WW16.1D,2026-04-13 07:00:00,2026-04-13 18:59:59,0
2026,WW16.1N,2026-04-13 19:00:00,2026-04-14 06:59:59,1
2026,WW16.2D,2026-04-14 07:00:00,2026-04-14 18:59:59,2
2026,WW16.2N,2026-04-14 19:00:00,2026-04-15 06:59:59,3
2026,WW16.3D,2026-04-15 07:00:00,2026-04-15 18:59:59,4
2026,WW16.3N,2026-04-15 19:00:00,2026-04-16 06:59:59,5
2026,WW16.4D,2026-04-16 07:00:00,2026-04-16 18:59:59,6
2026,WW16.4N,2026-04-16 19:00:00,2026-04-17 06:59:59,7
2026,WW16.5D,2026-04-17 07:00:00,2026-04-17 18:59:59,8
2026,WW16.5N,2026-04-17 19:00:00,2026-04-18 06:59:59,9
2026,WW16.6D,2026-04-18 07:00:00,2026-04-18 18:59:59,10
2026,WW16.6N,2026-04-18 19:00:00,2026-04-19 06:59:59,11
2026,WW17.0D,2026-04-19 07:00:00,2026-04-19 18:59:59,12
2026,WW17.0N,2026-04-19 19:00:00,2026-04-20 06:59:59,13
2026,WW17.1D,2026-04-20 07:00:00,2026-04-20 18:59:59,14
2026,WW17.1N,2026-04-20 19:00:00,2026-04-21 06:59:59,15
2026,WW17.2D,2026-04-21 07:00:00,2026-04-21 18:59:59,16
2026,WW17.2N,2026-04-21 19:00:00,2026-04-22 06:59:59,17
2026,WW17.3D,2026-04-22 07:00:00,2026-04-22 18:59:59,18
2026,WW17.3N,2026-04-22 19:00:00,2026-04-23 06:59:59,19
2026,WW17.4D,2026-04-23 07:00:00,2026-04-23 18:59:59,20
2026,WW17.4N,2026-04-23 19:00:00,2026-04-24 06:59:59,21
2026,WW17.5D,2026-04-24 07:00:00,2026-04-24 18:59:59,22
2026,WW17.5N,2026-04-24 19:00:00,2026-04-25 06:59:59,23
2026,WW17.6D,2026-04-25 07:00:00,2026-04-25 18:59:59,24
2026,WW17.6N,2026-04-25 19:00:00,2026-04-26 06:59:59,25
2026,WW18.0D,2026-04-26 07:00:00,2026-04-26 18:59:59,26
2026,WW18.0N,2026-04-26 19:00:00,2026-04-27 06:59:59,27
2026,WW18.1D,2026-04-27 07:00:00,2026-04-27 18:59:59,28
2026,WW18.1N,2026-04-27 19:00:00,2026-04-28 06:59:59,29
2026,WW18.2D,2026-04-28 07:00:00,2026-04-28 18:59:59,30
2026,WW18.2N,2026-04-28 19:00:00,2026-04-29 06:59:59,31
2026,WW18.3D,2026-04-29 07:00:00,2026-04-29 18:59:59,32
2026,WW18.3N,2026-04-29 19:00:00,2026-04-30 06:59:59,33
2026,WW18.4D,2026-04-30 07:00:00,2026-04-30 18:59:59,34
2026,WW18.4N,2026-04-30 19:00:00,2026-05-01 06:59:59,35
2026,WW18.5D,2026-05-01 07:00:00,2026-05-01 18:59:59,36
2026,WW18.5N,2026-05-01 19:00:00,2026-05-02 06:59:59,37
2026,WW18.6D,2026-05-02 07:00:00,2026-05-02 18:59:59,38
2026,WW18.6N,2026-05-02 19:00:00,2026-05-03 06:59:59,39
2026,WW19.0D,2026-05-03 07:00:00,2026-05-03 18:59:59,40
2026,WW19.0N,2026-05-03 19:00:00,2026-05-04 06:59:59,41
